Locality,DecimalLatitude,DecimalLongitude,place_names,last_place_name,last_place_name_feature_type,source_latitude,source_longitude
"    kapiti coast, maungakotukutuku stream",-40.988326,175.004704,"{'place_name': 'kapiti', 'feature_type': 'Locality'}",kapiti,Locality,-46.0680144,170.0201251
"   mt egmont, razorback ridge above road from egmont village.",-39.220399,174.041714,"[{'place_name': 'razorback ridge', 'feature_type': 'Ridge'}]",egmont village,Locality,-39.1453874,174.1449837
" ""greenhills"" near bluff",-46.543,168.304,"[{'place_name': 'greenhills', 'feature_type': 'Locality'}]",bluff,Hill,-46.59882,168.3433685
" `haypaddock', central owen range, nelson",-41.565874,172.520538,"[{'place_name': 'central', 'feature_type': 'Hill'}]",nelson,City,-41.2710849,173.2836756
" 2 miles south of motumatai, south kaimanawa mts.",-39.351382,175.988159,"[{'place_name': 'motumatai', 'feature_type': 'Hill'}]",kaimanawa,Hill,-38.5854719,176.2358105
 3/4  distance up jack's pass. north west of hanmer,-42.484518,172.823552,"[{'place_name': 'jack', 'feature_type': 'Hill'}]",hanmer,Town,-42.5217947,172.8302995
" a few km east of lewis pass, beside main road.",-42.393578,172.392679,"[{'place_name': 'lewis pass', 'feature_type': 'Pass'}]",lewis pass,Pass,-42.3784958,172.4010257
 ada pass. spenser mts.,-42.303862,172.454201,"[{'place_name': 'ada pass', 'feature_type': 'Pass'}]",ada pass,Pass,-42.3041924,172.4615505
 akaroa.,-43.817446,172.98742,"[{'place_name': 'akaroa', 'feature_type': 'Locality'}]",akaroa,Locality,-43.824937649999995,173.02096375934738
" aorere river, bainham bridge.",-40.770155,172.58204,"[{'place_name': 'aorere river', 'feature_type': 'Stream'}]",bainham,Locality,-40.7653922,172.5636935
 arthur's pass.,-42.908174,171.554775,"[{'place_name': ""arthur's pass"", 'feature_type': 'Pass'}]",arthur's pass,Pass,-42.9409528,171.5628387
 avondale,-36.883,174.7,"[{'place_name': 'avondale', 'feature_type': 'Locality'}]",avondale,Locality,-43.5029022,172.6874181
" banks of lynn stream, mt peel",-43.852,171.231,"[{'place_name': 'lynn stream', 'feature_type': 'Stream'}]",lynn stream,Stream,-36.9147783,174.6917167
" banks peninsula, lake forsyth.",-43.804535,172.72647,"[{'place_name': 'banks peninsula', 'feature_type': 'Peninsula'}]",forsyth,Locality,-45.9446743,169.7312593
" banks peninsula, little akaloa bay",-43.676154,172.99364,"[{'place_name': 'banks peninsula', 'feature_type': 'Peninsula'}]",little akaloa bay,Bay,-43.6631879,173.00657804809464
" banks peninsula, mt monument.",-43.671433,172.771699,"[{'place_name': 'banks peninsula', 'feature_type': 'Peninsula'}]",monument,Hill,-42.520444,173.4225335
" banks peninsula, mt monument.",-43.676833,172.771679,"[{'place_name': 'banks peninsula', 'feature_type': 'Peninsula'}]",monument,Hill,-42.520444,173.4225335
" banks peninsula, mt monument.",-43.677733,172.771675,"[{'place_name': 'banks peninsula', 'feature_type': 'Peninsula'}]",monument,Hill,-42.520444,173.4225335
" banks peninsula, summit road, rocky knob south of mt duvachelle",-43.727447,172.962612,"[{'place_name': 'banks peninsula', 'feature_type': 'Peninsula'}, {'place_name': 'summit', 'feature_type': 'Locality'}]",rocky knob,Hill,-41.024611,175.375056
" between dobson's hut and edge of burn on marchant ridge,tararua mts.",-41.049,175.259,"[{'place_name': 'dobson', 'feature_type': 'Locality'}, {'place_name': 'marchant ridge', 'feature_type': 'Ridge'}]",tararua,Hill,-40.3891365,176.07742939116034
" between waihaorunga and waihao forks, south canterbury",-44.733144,170.81606,"[{'place_name': 'waihaorunga', 'feature_type': 'Locality'}]",waihao forks,Locality,-44.786583,170.939734
